SOC_2010_Key,OCC_CODE,OCC_TITLE,
1.D,11-3021,Computer and Information Systems Managers,
1.D and 3.D,11-9041,Architectural and Engineering Managers,
1.D,11-9121,Natural Sciences Managers,
1.A,15-1111,Computer and Information Research Scientists,
1.A,15-1121,Computer Systems Analysts,
1.A,15-1122,Information Security Analysts,
1.B,15-1131,Computer Programmers,
1.A,15-1132,"Software Developers, Applications",
1.A,15-1133,"Software Developers, Systems Software",
1.A,15-1134,Web Developers,
1.A,15-1141,Database Administrators,
1.A,15-1142,Network and Computer Systems Administrators,
1.A,15-1143,Computer Network Architects,
1.B,15-1151,Computer User Support Specialists,
1.B,15-1152,Computer Network Support Specialists,
1.A,15-1199,"Computer Occupations, All Other",
1.A,15-2011,Actuaries,
1.A,15-2021,Mathematicians,
1.A,15-2031,Operations Research Analysts,
1.A,15-2041,Statisticians,
1.B,15-2091,Mathematical Technicians,
1.A,15-2099,"Mathematical Science Occupations, All Other",
1.B,17-1021,Cartographers and Photogrammetrists,
1.B,17-1022,Surveyors,
1.A,17-2011,Aerospace Engineers,
1.A,17-2021,Agricultural Engineers,
1.A,17-2031,Biomedical Engineers,
1.A,17-2041,Chemical Engineers,
1.A,17-2051,Civil Engineers,
1.A,17-2061,Computer Hardware Engineers,
1.A,17-2071,Electrical Engineers,
1.A,17-2072,"Electronics Engineers, Except Computer",
1.A,17-2081,Environmental Engineers,
1.A,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",
1.A,17-2112,Industrial Engineers,
1.A,17-2121,Marine Engineers and Naval Architects,
1.A,17-2131,Materials Engineers,
1.A,17-2141,Mechanical Engineers,
1.A,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",
1.A,17-2161,Nuclear Engineers,
1.A,17-2171,Petroleum Engineers,
1.A,17-2199,"Engineers, All Other",
1.B and 3.B,17-3011,Architectural and Civil Drafters,
1.B,17-3012,Electrical and Electronics Drafters,
1.B,17-3013,Mechanical Drafters,
1.B,17-3019,"Drafters, All Other",
1.B,17-3021,Aerospace Engineering and Operations Technicians,
1.B,17-3022,Civil Engineering Technicians,
1.B,17-3023,Electrical and Electronics Engineering Technicians,
1.B,17-3024,Electro-Mechanical Technicians,
1.B,17-3025,Environmental Engineering Technicians,
1.B,17-3026,Industrial Engineering Technicians,
1.B,17-3027,Mechanical Engineering Technicians,
1.B,17-3029,"Engineering Technicians, Except Drafters, All Other",
1.B,17-3031,Surveying and Mapping Technicians,
1.A,19-1011,Animal Scientists,
1.A,19-1012,Food Scientists and Technologists,
1.A,19-1013,Soil and Plant Scientists,
1.A,19-1021,Biochemists and Biophysicists,
1.A,19-1022,Microbiologists,
1.A,19-1023,Zoologists and Wildlife Biologists,
1.A,19-1029,"Biological Scientists, All Other",
1.A,19-1031,Conservation Scientists,
1.A,19-1032,Foresters,
1.A,19-1041,Epidemiologists,
1.A,19-1042,"Medical Scientists, Except Epidemiologists",
1.A,19-1099,"Life Scientists, All Other",
1.A,19-2011,Astronomers,
1.A,19-2012,Physicists,
1.A,19-2021,Atmospheric and Space Scientists,
1.A,19-2031,Chemists,
1.A,19-2032,Materials Scientists,
1.A,19-2041,"Environmental Scientists and Specialists, Including Health",
1.A,19-2042,"Geoscientists, Except Hydrologists and Geographers",
1.A,19-2043,Hydrologists,
1.A,19-2099,"Physical Scientists, All Other",
1.B,19-4011,Agricultural and Food Science Technicians,
1.B,19-4021,Biological Technicians,
1.B,19-4031,Chemical Technicians,
1.B,19-4041,Geological and Petroleum Technicians,
1.B,19-4051,Nuclear Technicians,
1.B,19-4091,"Environmental Science and Protection Technicians, Including Health",
1.B,19-4092,Forensic Science Technicians,
1.B,19-4093,Forest and Conservation Technicians,
1.B and 2.B,19-4099,"Life, Physical, and Social Science Technicians, All Other",
1.C,25-1021,"Computer Science Teachers, Postsecondary",
1.C,25-1022,"Mathematical Science Teachers, Postsecondary",
1.C,25-1032,"Engineering Teachers, Postsecondary",
1.C,25-1041,"Agricultural Sciences Teachers, Postsecondary",
1.C,25-1042,"Biological Science Teachers, Postsecondary",
1.C,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",
1.C,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",
1.C,25-1052,"Chemistry Teachers, Postsecondary",
1.C,25-1053,"Environmental Science Teachers, Postsecondary",
1.C,25-1054,"Physics Teachers, Postsecondary",
1.E,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",
1.E,41-9031,Sales Engineers,
